rptyy,evyy,StateAbbreviation,BinnedClaim1
1960,1960,VA,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,NY,Miscellaneous Social Issues
1960,1960,IL,Civil Rights--African American
1960,1960,PA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,DC,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Civil Rights--African American
1960,1960,TX,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,IL,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,KS,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,OH,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,MA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,UT,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,OH,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,IL,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,MI,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,DC,Civil Rights--African American
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,IL,Civil Rights--African American
1960,1960,DC,Miscellaneous Social Issues
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CT,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CT,Miscellaneous Social Issues
1960,1960,DC,Miscellaneous Social Issues
1960,1960,NY,Civil Rights_ Pan Latino
1960,1960,NY,Civil Rights_ Pan Latino
1960,1960,NY,Civil Rights_ Pan Latino
1960,1960,DC,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NJ,Civil Rights--African American
1960,1960,NJ,Miscellaneous Social Issues
1960,1960,MO,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,MO,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CA,Miscellaneous Social Issues
1960,1960,NY,Miscellaneous Social Issues
1960,1960,NY,Other
1960,1960,GA,Miscellaneous Social Issues
1960,1960,CT,Miscellaneous Social Issues
1960,1960,MO,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,CT,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NJ,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,FL,Civil Rights--African American
1960,1960,CT,Miscellaneous Social Issues
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,FL,Civil Rights_ Pan Latino
1960,1960,DC,Miscellaneous Social Issues
1960,1960,NY,International Human and Civil Rights/Democratization
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,AR,Civil Rights--African American
1960,1960,PA,Miscellaneous Social Issues
1960,1960,AR,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Miscellaneous Social Issues
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,AL,Miscellaneous Social Issues
1960,1960,AL,Miscellaneous Social Issues
1960,1960,NC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,CT,Civil Rights--African American
1960,1960,MD,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,NJ,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,WI,Civil Rights--African American
1960,1960,DC,Civil Rights_ Pan Latino
1960,1960,GA,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,GA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,GA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,AL,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,AL,Miscellaneous Social Issues
1960,1960,AL,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,AL,Miscellaneous Social Issues
1960,1960,SC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,AL,Miscellaneous Social Issues
1960,1960,AL,Miscellaneous Social Issues
1960,1960,AL,Miscellaneous Social Issues
1960,1960,AR,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,AL,Miscellaneous Social Issues
1960,1960,NC,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,NJ,Miscellaneous Social Issues
1960,1960,FL,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,TN,Miscellaneous Social Issues
1960,1960,AL,Civil Rights--African American
1960,1960,DC,Civil Rights--African American
1960,1960,PA,Miscellaneous Social Issues
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Miscellaneous Social Issues
1960,1960,MO,Civil Rights--African American
1960,1960,DC,Civil Rights--African American
1960,1960,NY,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,SC,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,NY,Miscellaneous Social Issues
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,PA,Miscellaneous Social Issues
1960,1960,MI,Civil Rights--African American
1960,1960,MI,Civil Rights--African American
1960,1960,DC,Miscellaneous Social Issues
1960,1960,NC,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Other
1960,1960,VA,Civil Rights--African American
1960,1960,NY,Miscellaneous Social Issues
1960,1960,SC,Civil Rights--African American
1960,1960,OH,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,GA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,LA,Civil Rights--African American
1960,1960,AL,Other
1960,1960,NY,Civil Rights--African American
1960,1960,DC,Other
1960,1960,FL,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,FL,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,MA,Civil Rights--African American
1960,1960,NJ,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,TN,Miscellaneous Social Issues
1960,1960,GA,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,SC,Miscellaneous Social Issues
1960,1960,SC,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,SC,Civil Rights--African American
1960,1960,GA,Other
1960,1960,NY,Miscellaneous Social Issues
1960,1960,NY,Miscellaneous Social Issues
1960,1960,NY,Miscellaneous Social Issues
1960,1960,GA,Civil Rights--African American
1960,1960,GA,Civil Rights--African American
1960,1960,GA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,AL,Civil Rights--African American
1960,1960,AR,Civil Rights--African American
1960,1960,AR,Civil Rights--African American
1960,1960,VT,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,MA,Miscellaneous Social Issues
1960,1960,NV,Civil Rights--African American
1960,1960,FL,Civil Rights--African American
1960,1960,FL,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,VA,Civil Rights--African American
1960,1960,WV,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NJ,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,TN,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,MA,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,DC,Civil Rights--African American
1960,1960,CA,Miscellaneous Social Issues
1960,1960,NM,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Civil Rights--African American
1960,1960,NY,Miscellaneous Social Issues
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,AL,Civil Rights--African American
1960,1960,NC,Civil Rights--African American
1960,1960,NC,Miscellaneous Social Issues
1960,1960,TN,Civil Rights--African American
1960,1960,AL,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,GA,Civil Rights--African American
1960,1960,GA,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,TX,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,TX,Civil Rights--African American
1960,1960,TX,Miscellaneous Social Issues
1960,1960,VA,Civil Rights--African American
1960,1960,WV,Civil Rights--African American
1960,1960,VA,Civil Rights--African American
1960,1960,SC,Anti-Ethnic Attacks/Hate or Bias Crimes
1960,1960,SC,Anti-Ethnic Attacks/Hate or Bias Crimes
